signal_date,ticker,foreign_5d,inst_5d,score,contraction_ratio,entry_price,status,exit_price,exit_date,return_pct,hold_days
2026-02-06,064290,137072,47603,70.8,0.659,17420.0,CLOSED,17800.0,2026-02-11,2.18,5
2026-02-06,069920,162524,0,61.6,0.662,678.0,CLOSED,725.0,2026-02-11,6.93,5
2026-02-06,071090,103404,106,73.7,0.312,3610.0,CLOSED,3775.0,2026-02-11,4.57,5
2026-02-06,082210,60344,0,62.3,0.472,1957.0,CLOSED,2015.0,2026-02-11,2.96,5
2026-02-06,084690,99555,1333,67.3,0.772,9930.0,CLOSED,10170.0,2026-02-11,2.42,5
2026-02-06,090430,280707,50316,80.4,0.731,137300.0,CLOSED,164200.0,2026-02-11,19.59,5
2026-02-06,091580,69495,-9317,70.5,0.435,14750.0,CLOSED,16130.0,2026-02-11,9.36,5
2026-02-06,131030,90735,0,67.1,0.729,7580.0,CLOSED,8180.0,2026-02-11,7.92,5
2026-02-06,138360,53176,0,75.1,0.29,3030.0,CLOSED,2835.0,2026-02-11,-6.44,5
2026-02-06,210120,116808,428,75.2,0.594,1905.0,CLOSED,1840.0,2026-02-11,-3.41,5
2026-02-06,211270,113026,105661,76.8,0.667,20300.0,CLOSED,19430.0,2026-02-11,-4.29,5
2026-02-06,223250,61988,-2000,75.9,0.791,6040.0,CLOSED,6300.0,2026-02-11,4.3,5
2026-02-06,264450,64018,3228,68.8,0.479,12530.0,CLOSED,12870.0,2026-02-11,2.71,5
2026-02-06,282330,81844,-17826,63.7,0.678,122400.0,CLOSED,126200.0,2026-02-11,3.1,5
2026-02-06,307930,62235,2700,75.4,0.633,6900.0,CLOSED,7750.0,2026-02-11,12.32,5
2026-02-06,320000,216345,0,60.2,0.789,1923.0,CLOSED,2120.0,2026-02-11,10.24,5
2026-02-06,336060,99373,6,71.9,0.72,1019.0,CLOSED,1043.0,2026-02-11,2.36,5
2026-02-06,352700,69775,19963,61.0,0.462,2130.0,CLOSED,2180.0,2026-02-11,2.35,5
2026-02-06,352820,177671,-220512,71.4,0.669,355500.0,CLOSED,377000.0,2026-02-11,6.05,5
2026-02-06,362320,70053,-104,68.5,0.442,5600.0,CLOSED,5950.0,2026-02-11,6.25,5
2026-02-06,375500,133073,-12227,72.1,0.667,45050.0,CLOSED,49400.0,2026-02-11,9.66,5
2026-02-06,378850,71076,8760,68.0,0.365,3545.0,CLOSED,3635.0,2026-02-11,2.54,5
2026-02-06,382480,228950,0,66.1,0.579,2480.0,CLOSED,2385.0,2026-02-11,-3.83,5
2026-02-06,403490,74304,0,62.6,0.557,1476.0,CLOSED,1510.0,2026-02-11,2.3,5
2026-02-06,424980,71383,-4224,66.2,0.748,15350.0,CLOSED,15260.0,2026-02-11,-0.59,5
2026-02-06,451760,187528,-72037,76.4,0.602,20800.0,CLOSED,22000.0,2026-02-11,5.77,5
2026-02-06,900260,178502,-19100,69.9,0.069,1582.0,CLOSED,1584.0,2026-02-11,0.13,5
2026-02-06,900270,122893,0,66.1,0.8,173.0,CLOSED,173.0,2026-02-11,0.0,5
2026-02-06,950170,274153,-74121,69.2,0.617,5380.0,CLOSED,5310.0,2026-02-11,-1.3,5
2026-02-09,000720,156525,15926,80.5,0.616,114200.0,CLOSED,114300.0,2026-02-15,0.09,6
2026-02-09,005010,218325,-3598,75.4,0.356,4230.0,CLOSED,4290.0,2026-02-15,1.42,6
2026-02-09,005490,57240,78495,77.9,0.59,364250.0,CLOSED,375500.0,2026-02-15,3.09,6
2026-02-09,005950,100628,-957,73.3,0.586,9270.0,CLOSED,9090.0,2026-02-15,-1.94,6
2026-02-09,006400,178119,-188979,79.6,0.444,382000.0,CLOSED,374500.0,2026-02-15,-1.96,6
2026-02-09,009410,295417,-231512,71.2,0.718,1603.0,CLOSED,1711.0,2026-02-15,6.74,6
2026-02-09,009520,92315,-38197,80.9,0.701,20025.0,CLOSED,19660.0,2026-02-15,-1.82,6
2026-02-09,009730,320501,1965,75.8,0.775,631.0,CLOSED,634.0,2026-02-15,0.48,6
2026-02-09,009810,55357,-76,75.2,0.0,261.0,CLOSED,1284.0,2026-02-15,391.95,6
2026-02-09,009900,76361,5915,72.5,0.8,9240.0,CLOSED,9360.0,2026-02-15,1.3,6
2026-02-09,010620,189955,-112800,68.3,0.0,223000.0,CLOSED,223000.0,2026-02-15,0.0,6
2026-02-09,011500,149931,4370,75.5,0.46,25800.0,CLOSED,24800.0,2026-02-15,-3.88,6
2026-02-09,012280,57959,19271,71.5,0.609,962.0,CLOSED,982.0,2026-02-15,2.08,6
2026-02-09,012690,123391,203,75.3,0.442,2205.0,CLOSED,2220.0,2026-02-15,0.68,6
2026-02-09,013520,68202,-979,73.5,0.794,2540.0,CLOSED,2580.0,2026-02-15,1.57,6
2026-02-09,015750,171221,-153419,77.9,0.669,7680.0,CLOSED,7950.0,2026-02-15,3.52,6
2026-02-09,015760,123587,1123740,79.7,0.446,62600.0,CLOSED,59800.0,2026-02-15,-4.47,6
2026-02-09,017040,168967,254,73.1,0.388,1480.0,CLOSED,1439.0,2026-02-15,-2.77,6
2026-02-09,024850,266473,-758331,77.7,0.725,3185.0,CLOSED,3110.0,2026-02-15,-2.35,6
2026-02-09,024880,80157,-1023,74.8,0.482,6060.0,CLOSED,6050.0,2026-02-15,-0.17,6
2026-02-09,025900,55887,-44423,74.5,0.795,10450.0,CLOSED,9950.0,2026-02-15,-4.78,6
2026-02-09,026890,95525,-4674,67.5,0.713,11330.0,CLOSED,11660.0,2026-02-15,2.91,6
2026-02-09,036170,93430,0,75.6,0.675,1780.0,CLOSED,1620.0,2026-02-13,-8.99,4
2026-02-09,036460,659822,-108530,72.6,0.724,41450.0,CLOSED,42000.0,2026-02-15,1.33,6
2026-02-09,038540,54255,66465,68.3,0.556,1904.0,CLOSED,2140.0,2026-02-15,12.39,6
2026-02-09,043370,102973,21807,64.5,0.2,12220.0,CLOSED,12980.0,2026-02-15,6.22,6
2026-02-09,046120,77989,14136,71.6,0.65,4810.0,CLOSED,6210.0,2026-02-15,29.11,6
2026-02-09,047050,329691,586636,87.63000000000001,0.62,64100.0,CLOSED,65800.0,2026-02-15,2.65,6
2026-02-09,047310,60879,-8728,74.9,0.368,6100.0,CLOSED,5870.0,2026-02-15,-3.77,6
2026-02-09,047400,148515,230,76.2,0.585,1507.0,CLOSED,1505.0,2026-02-15,-0.13,6
2026-02-09,048470,154182,0,65.3,0.722,3430.0,CLOSED,3405.0,2026-02-15,-0.73,6
2026-02-09,053690,92269,9516,66.9,0.753,19580.0,CLOSED,20250.0,2026-02-15,3.42,6
2026-02-09,054210,269106,828,77.7,0.657,10950.0,CLOSED,10720.0,2026-02-15,-2.1,6
2026-02-09,064290,137072,47603,70.8,0.659,18180.0,CLOSED,17120.0,2026-02-15,-5.83,6
2026-02-09,066570,750189,-335879,76.8,0.359,102400.0,CLOSED,117200.0,2026-02-15,14.45,6
2026-02-09,069920,162524,0,61.6,0.699,668.0,CLOSED,714.0,2026-02-15,6.89,6
2026-02-09,071090,103404,106,73.7,0.312,3720.0,CLOSED,3765.0,2026-02-15,1.21,6
2026-02-09,082210,60344,0,62.3,0.472,1998.0,CLOSED,2005.0,2026-02-15,0.35,6
2026-02-09,083650,111329,-6564,82.7,0.755,76700.0,CLOSED,75300.0,2026-02-15,-1.83,6
2026-02-09,091580,69495,-9317,70.5,0.511,15600.0,CLOSED,16580.0,2026-02-15,6.28,6
2026-02-09,095500,94261,-2340,76.0,0.799,12030.0,CLOSED,11220.0,2026-02-15,-6.73,6
2026-02-09,105550,404477,-548123,76.2,0.777,1524.0,CLOSED,1484.0,2026-02-15,-2.62,6
2026-02-09,118990,105793,-1085,76.1,0.756,9730.0,CLOSED,9770.0,2026-02-15,0.41,6
2026-02-09,138360,53176,0,75.1,0.268,3020.0,CLOSED,2275.0,2026-02-12,-24.67,3
2026-02-09,166090,150761,-72733,75.6,0.743,64200.0,CLOSED,59100.0,2026-02-13,-7.94,4
2026-02-09,210120,116808,428,75.2,0.641,1915.0,CLOSED,1619.0,2026-02-13,-15.46,4
2026-02-09,211270,113026,105661,76.8,0.66,20550.0,CLOSED,19030.0,2026-02-13,-7.4,4
2026-02-09,222080,80513,-304045,84.6,0.715,13040.0,CLOSED,12150.0,2026-02-15,-6.83,6
2026-02-09,237690,216003,-71210,75.1,0.673,155000.0,CLOSED,146700.0,2026-02-15,-5.35,6
2026-02-09,264450,64018,3228,68.8,0.46,13050.0,CLOSED,12230.0,2026-02-15,-6.28,6
2026-02-09,307930,62235,2700,75.4,0.546,7020.0,CLOSED,7320.0,2026-02-15,4.27,6
2026-02-09,336060,99373,6,71.9,0.769,1063.0,CLOSED,1016.0,2026-02-15,-4.42,6
2026-02-09,352700,69775,19963,61.0,0.462,2135.0,CLOSED,2200.0,2026-02-15,3.04,6
2026-02-09,352820,177671,-220512,72.7,0.562,377000.0,CLOSED,390000.0,2026-02-15,3.45,6
2026-02-09,362320,70053,-104,68.5,0.442,5870.0,CLOSED,5820.0,2026-02-15,-0.85,6
2026-02-09,378340,102082,20412,73.1,0.512,16440.0,CLOSED,15200.0,2026-02-13,-7.54,4
2026-02-09,378850,71076,8760,68.0,0.474,3600.0,CLOSED,3600.0,2026-02-15,0.0,6
2026-02-09,382480,228950,0,66.1,0.652,2410.0,CLOSED,2285.0,2026-02-15,-5.19,6
2026-02-09,403490,74304,0,62.6,0.557,1515.0,CLOSED,1493.0,2026-02-15,-1.45,6
2026-02-09,446540,116825,0,75.3,0.383,4295.0,CLOSED,4090.0,2026-02-15,-4.77,6
2026-02-09,451760,187528,-72037,76.4,0.602,22150.0,CLOSED,21250.0,2026-02-15,-4.06,6
2026-02-09,452280,73665,2115,70.0,0.79,10410.0,CLOSED,9990.0,2026-02-15,-4.03,6
2026-02-09,452430,85265,-83300,63.1,0.636,38650.0,CLOSED,35050.0,2026-02-12,-9.31,3
2026-02-09,455180,61302,0,70.5,0.521,3645.0,CLOSED,3370.0,2026-02-13,-7.54,4
2026-02-09,900260,178502,-19100,69.9,0.071,1583.0,CLOSED,1646.0,2026-02-15,3.98,6
2026-02-09,950170,274153,-74121,69.2,0.763,5410.0,CLOSED,5050.0,2026-02-15,-6.65,6
2026-02-10,000680,171302,-5977,71.4,0.74,3455.0,CLOSED,3510.0,2026-02-15,1.59,5
2026-02-10,004540,51832,1309,75.2,0.273,1897.0,CLOSED,1900.0,2026-02-15,0.16,5
2026-02-10,004770,97227,12,71.5,0.517,1640.0,CLOSED,1630.0,2026-02-15,-0.61,5
2026-02-10,004830,65218,0,65.5,0.737,4875.0,CLOSED,5090.0,2026-02-15,4.41,5
2026-02-10,005010,224377,-4610,75.3,0.356,4230.0,CLOSED,4290.0,2026-02-15,1.42,5
2026-02-10,005950,178866,-1185,73.6,0.586,9270.0,CLOSED,9090.0,2026-02-15,-1.94,5
2026-02-10,006400,210946,241907,79.5,0.444,382000.0,CLOSED,374500.0,2026-02-15,-1.96,5
2026-02-10,006910,367552,2578,70.8,0.521,8260.0,CLOSED,9180.0,2026-02-15,11.14,5
2026-02-10,009410,438233,-239159,70.5,0.718,1603.0,CLOSED,1711.0,2026-02-15,6.74,5
2026-02-10,009520,62152,25559,80.8,0.701,20025.0,CLOSED,19660.0,2026-02-15,-1.82,5
2026-02-10,009730,256127,1965,75.5,0.775,631.0,CLOSED,634.0,2026-02-15,0.48,5
2026-02-10,009900,150444,-17272,72.1,0.8,9240.0,CLOSED,9360.0,2026-02-15,1.3,5
2026-02-10,010280,83221,0,69.4,0.697,1132.0,CLOSED,1092.0,2026-02-15,-3.53,5
2026-02-10,010620,189955,-112800,68.3,0.0,223000.0,CLOSED,223000.0,2026-02-15,0.0,5
2026-02-10,010820,174423,-15018,73.3,0.552,4760.0,CLOSED,5200.0,2026-02-15,9.24,5
2026-02-10,010950,103632,-5549,79.1,0.67,100600.0,CLOSED,106200.0,2026-02-15,5.57,5
2026-02-10,011500,76755,3862,75.7,0.46,25800.0,CLOSED,24800.0,2026-02-15,-3.88,5
2026-02-10,012280,117025,-4191,71.9,0.609,962.0,CLOSED,982.0,2026-02-15,2.08,5
2026-02-10,012690,103759,-40,75.3,0.442,2205.0,CLOSED,2220.0,2026-02-15,0.68,5
2026-02-10,013520,66473,-3185,74.0,0.794,2540.0,CLOSED,2580.0,2026-02-15,1.57,5
2026-02-10,013990,138145,-482,73.7,0.456,4700.0,CLOSED,4690.0,2026-02-15,-0.21,5
2026-02-10,015750,81488,1097,79.3,0.669,7680.0,CLOSED,7950.0,2026-02-15,3.52,5
2026-02-10,015760,392941,1276680,79.5,0.446,62600.0,CLOSED,59800.0,2026-02-15,-4.47,5
2026-02-10,017040,387463,17,73.1,0.388,1480.0,CLOSED,1439.0,2026-02-15,-2.77,5
2026-02-10,017510,144288,-13037,75.5,0.743,10180.0,CLOSED,10560.0,2026-02-15,3.73,5
2026-02-10,019990,70085,0,76.2,0.646,8680.0,CLOSED,9030.0,2026-02-15,4.03,5
2026-02-10,024850,334913,-268254,77.6,0.725,3185.0,CLOSED,3110.0,2026-02-15,-2.35,5
2026-02-10,024880,132836,-2009,73.9,0.482,6060.0,CLOSED,6050.0,2026-02-15,-0.17,5
2026-02-10,025900,124603,19394,75.2,0.795,10450.0,CLOSED,9950.0,2026-02-15,-4.78,5
2026-02-10,026890,83553,-1715,67.6,0.713,11330.0,CLOSED,11660.0,2026-02-15,2.91,5
2026-02-10,028050,421005,281716,88.06000000000003,0.716,32950.0,CLOSED,33900.0,2026-02-15,2.88,5
2026-02-10,031330,941193,-724255,75.5,0.789,4730.0,CLOSED,4755.0,2026-02-15,0.53,5
2026-02-10,033530,127690,-5807,74.1,0.595,10750.0,CLOSED,10290.0,2026-02-15,-4.28,5
2026-02-10,036170,51223,0,75.6,0.675,1780.0,CLOSED,1620.0,2026-02-13,-8.99,3
2026-02-10,036460,832119,-21478,73.4,0.724,41450.0,CLOSED,42000.0,2026-02-15,1.33,5
2026-02-10,038540,95538,63034,68.9,0.556,1904.0,CLOSED,2140.0,2026-02-15,12.39,5
2026-02-10,039980,198361,0,67.6,0.649,1754.0,CLOSED,1644.0,2026-02-15,-6.27,5
2026-02-10,042500,70290,-2773,64.6,0.733,3950.0,CLOSED,3935.0,2026-02-15,-0.38,5
2026-02-10,043370,97027,20808,64.7,0.2,12220.0,CLOSED,12980.0,2026-02-15,6.22,5
2026-02-10,046120,182559,18168,72.6,0.65,4810.0,CLOSED,6210.0,2026-02-15,29.11,5
2026-02-10,047050,318687,433078,88.06000000000003,0.62,64100.0,CLOSED,65800.0,2026-02-15,2.65,5
2026-02-10,047310,159250,-8915,75.2,0.368,6100.0,CLOSED,5870.0,2026-02-15,-3.77,5
2026-02-10,047400,57325,1,75.5,0.585,1507.0,CLOSED,1505.0,2026-02-15,-0.13,5
2026-02-10,048470,68269,1,65.3,0.722,3430.0,CLOSED,3405.0,2026-02-15,-0.73,5
2026-02-10,049950,60783,-1999,65.2,0.731,17830.0,CLOSED,16160.0,2026-02-13,-9.37,3
